,Marital status,Application mode,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2291,single,1st phase -- general contingent,social service,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers",Armed Forces,no,no,no,yes,male,no,19,no,0,6,9,5,10.8,0,0,6,11,5,11.0,0,7.6,2.6,0.32,Graduate
2292,single,3rd phase,management,daytime,Finished High School,Some High School,Unknown,Other Situation,Other Situation,no,no,no,yes,male,no,22,no,0,5,11,3,13.666666666666666,0,0,5,10,3,11.333333333333334,0,9.4,-0.8,-3.12,Dropout
2293,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,19,no,0,6,8,6,12.833333333333334,0,0,6,8,6,13.333333333333334,0,15.5,2.8,-4.06,Graduate
2294,single,2nd phase,animation and multimedia design,daytime,Finished High School,Finished High School,Elementary School,Adminstrative Staff,Unskilled Workers,no,no,no,no,male,no,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
2295,single,2nd phase,advertising and marketing management,daytime,Finished High School,Finished High School,Middle School,Adminstrative Staff,Skilled Industry,no,no,no,yes,male,no,19,no,0,6,8,6,15.125,0,0,6,7,6,13.428571428571429,0,11.1,0.6,2.02,Graduate
2296,single,Change in course,management,daytime,Finished High School,Finished High School,Some High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,22,no,0,5,11,0,0.0,0,0,5,7,1,10.0,1,16.2,0.3,-0.92,Dropout
2297,single,1st phase -- general contingent,social service,daytime,Finished High School,Postgraduate Degree,Postgraduate Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,22,no,0,6,10,5,11.4,0,0,6,8,5,11.0,0,10.8,1.4,1.74,Graduate
2298,single,1st phase -- general contingent,social service,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,male,no,19,no,0,6,12,4,12.25,0,0,6,9,6,11.0,0,9.4,-0.8,-3.12,Graduate
2299,single,Over 23 years old,tourism,daytime,Technical Course,Finished High School,Finished High School,"Personal Services, Security & Safety Workers",Armed Forces,no,no,no,no,male,no,26,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout
2300,single,Technological specialization diploma holders,informatics engineering,daytime,Technical Course,Postgraduate Degree,Specialized higher studies course,Intermediate Level Technicians & Professions,Science & Intellectual Specialists,no,no,no,yes,male,no,23,no,3,7,12,3,14.0,0,1,6,12,1,14.0,0,12.4,0.5,1.79,Enrolled
2301,single,2nd phase,communication design,daytime,Finished High School,General commerce course,Some High School,Skilled Industry,Skilled Industry,no,no,no,yes,male,no,18,no,0,6,7,6,12.333333333333334,0,0,6,10,5,10.8,4,16.2,0.3,-0.92,Enrolled
2302,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,yes,yes,male,yes,22,no,0,5,8,5,10.666666666666666,0,0,5,11,2,11.0,0,15.5,2.8,-4.06,Enrolled
2303,single,3rd phase,informatics engineering,daytime,Finished High School,Other Degree,Bachelor's Degree,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,19,no,0,5,9,5,11.833333333333334,0,0,5,9,5,14.714285714285714,0,12.4,0.5,1.79,Enrolled
2304,single,2nd phase,management,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,Machine Operators & Assembly Workers,no,no,no,yes,male,no,20,no,0,5,14,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
2305,single,1st phase -- general contingent,communication design,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,yes,22,no,0,6,6,6,11.666666666666666,0,0,6,6,6,12.166666666666666,0,7.6,2.6,0.32,Enrolled
2306,single,Holders of other higher courses,equiniculture,daytime,Other Degree,Bachelor's Degree,Middle School,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,no,male,no,18,no,2,5,7,2,13.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2307,divorced,Change in course,management (evening),evening,Middle School,Other Degree,Finished High School,Science & Intellectual Specialists,Unskilled Workers,no,no,no,yes,male,no,39,no,0,2,5,0,0.0,0,0,4,4,0,0.0,0,10.8,1.4,1.74,Dropout
2308,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Finished High School,Other Situation,Other Situation,no,no,no,yes,male,no,18,no,0,8,8,0,0.0,3,0,8,8,0,0.0,3,10.8,1.4,1.74,Dropout
2309,single,2nd phase,informatics engineering,daytime,Finished High School,Finished High School,Middle School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,no,no,no,yes,male,yes,18,no,0,5,5,5,13.0,0,0,5,5,5,14.2,0,8.9,1.4,3.51,Graduate
2310,single,1st phase -- general contingent,social service,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,yes,19,no,0,6,7,6,13.857142857142858,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate
2311,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,18,no,0,7,7,6,13.391666666666666,0,0,8,8,8,12.4875,0,12.4,0.5,1.79,Graduate
2312,single,1st phase -- general contingent,management,daytime,Finished High School,Some High School,Some High School,Student,Adminstrative Staff,yes,no,no,yes,male,yes,18,no,0,5,7,4,12.75,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
2313,single,Technological specialization diploma holders,equiniculture,daytime,Technical Course,General commerce course,Elementary School,Skilled Farmers,Skilled Farmers,yes,no,no,yes,male,no,22,no,0,5,7,4,14.5,0,0,5,5,5,14.6,0,10.8,1.4,1.74,Graduate
2314,single,1st phase -- general contingent,social service,daytime,Finished High School,Finished High School,Finished High School,Intermediate Level Technicians & Professions,Adminstrative Staff,no,no,no,yes,male,no,19,no,0,6,7,6,12.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
2315,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,male,no,18,no,0,5,5,5,15.4,0,0,5,5,5,15.6,0,12.7,3.7,-1.7,Dropout
2316,single,Over 23 years old,informatics engineering,daytime,Some High School,Finished High School,Finished High School,Adminstrative Staff,Intermediate Level Technicians & Professions,no,no,yes,no,male,no,31,no,0,5,9,2,13.333333333333334,0,0,5,9,2,16.0,4,16.2,0.3,-0.92,Dropout
2317,single,Over 23 years old,management (evening),evening,Finished High School,Other Degree,Finished High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,no,no,no,yes,male,no,28,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2318,single,1st phase -- general contingent,communication design,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Machine Operators & Assembly Workers,no,no,no,yes,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
2319,single,2nd phase,tourism,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Machine Operators & Assembly Workers,no,no,no,yes,male,no,20,no,0,6,7,6,13.714285714285714,0,0,6,8,6,14.714285714285714,0,16.2,0.3,-0.92,Graduate
2320,divorced,Over 23 years old,social service,daytime,Finished High School,General commerce course,Other Degree,Unskilled Workers,Science & Intellectual Specialists,no,no,no,yes,male,no,50,no,0,6,7,4,12.25,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Dropout
2321,single,Change in course,communication design,daytime,Finished High School,Finished High School,Bachelor's Degree,Adminstrative Staff,Science & Intellectual Specialists,no,no,no,yes,male,no,38,no,1,6,9,5,16.0,1,0,6,11,4,16.5,0,13.9,-0.3,0.79,Enrolled
2322,married,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,31,no,0,5,8,1,11.0,0,0,5,5,1,13.0,0,9.4,-0.8,-3.12,Dropout
2323,single,Over 23 years old,nursing,daytime,Finished High School,Finished High School,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,27,no,0,7,7,7,14.085714285714284,0,0,7,7,7,14.085714285714284,0,7.6,2.6,0.32,Enrolled
2324,single,3rd phase,social service,daytime,Finished High School,Finished High School,Other Degree,Unskilled Workers,Science & Intellectual Specialists,yes,no,no,yes,male,no,21,no,0,6,9,6,10.166666666666666,0,0,6,10,6,10.5,0,12.7,3.7,-1.7,Graduate
2325,married,Over 23 years old,informatics engineering,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,34,no,0,5,8,1,10.0,0,0,5,9,0,0.0,0,8.9,1.4,3.51,Dropout
2326,single,Change in institution/course,informatics engineering,daytime,Finished High School,Bachelor's Degree,Elementary School,Science & Intellectual Specialists,Unskilled Workers,yes,no,no,yes,male,no,19,no,0,5,10,0,0.0,0,0,5,7,1,10.0,0,7.6,2.6,0.32,Enrolled
2327,married,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Elementary School,Executive Managers,Adminstrative Staff,yes,no,no,no,male,no,40,no,0,5,10,2,10.5,0,0,5,5,3,10.666666666666666,0,9.4,-0.8,-3.12,Dropout
2328,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Science & Intellectual Specialists,yes,no,no,yes,male,yes,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
2329,married,Over 23 years old,communication design,daytime,Some High School,General commerce course,Middle School,"Personal Services, Security & Safety Workers",Armed Forces,no,no,yes,no,male,yes,46,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
2330,single,Change in course,social service (evening),evening,Finished High School,Some High School,Unknown,Student,Student,no,no,no,yes,male,no,37,no,0,6,12,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
2331,single,Over 23 years old,argonomy,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Skilled Industry,yes,no,no,yes,male,no,31,no,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
2332,single,Over 23 years old,argonomy,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,Armed Forces,no,no,no,yes,male,no,34,no,0,6,15,5,13.333333333333334,0,0,6,15,5,12.4,0,12.4,0.5,1.79,Graduate
2333,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Some High School,Some High School,Adminstrative Staff,Adminstrative Staff,yes,no,no,yes,male,yes,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
2334,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,yes,18,no,0,6,7,6,13.571428571428571,0,0,6,6,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
2335,single,2nd phase,communication design,daytime,Finished High School,Finished High School,Finished High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,yes,no,no,yes,male,yes,19,no,0,6,6,6,12.833333333333334,0,0,6,7,6,11.166666666666666,0,11.1,0.6,2.02,Graduate
2336,single,Change in course,management (evening),evening,Finished High School,General commerce course,Some High School,Unskilled Workers,Adminstrative Staff,no,no,no,yes,male,no,40,no,1,5,6,4,10.25,0,3,8,18,5,11.2,5,15.5,2.8,-4.06,Dropout
2337,single,Over 23 years old,equiniculture,daytime,Finished High School,Finished High School,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,25,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
2338,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Middle School,"Personal Services, Security & Safety Workers",Unskilled Workers,yes,no,yes,yes,male,no,20,no,0,5,5,4,14.5,0,0,6,8,3,13.333333333333334,0,11.1,0.6,2.02,Dropout
2339,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,20,no,0,5,6,5,15.8,0,0,5,8,5,13.714285714285714,0,11.1,0.6,2.02,Enrolled
2340,single,Over 23 years old,argonomy,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Armed Forces,yes,no,no,no,male,no,43,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
2341,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Adminstrative Staff,yes,no,no,yes,male,no,18,no,0,5,8,4,12.5,0,0,5,7,3,14.666666666666666,1,7.6,2.6,0.32,Enrolled
2342,single,Change in course,argonomy,daytime,Finished High School,Bachelor's Degree,Postgraduate Degree,Adminstrative Staff,Executive Managers,no,no,no,yes,male,no,35,no,16,18,22,18,11.666666666666666,0,12,13,13,12,11.5,1,15.5,2.8,-4.06,Graduate
2343,single,2nd phase,management (evening),evening,Finished High School,General commerce course,Some High School,Unskilled Workers,Adminstrative Staff,no,no,no,yes,male,no,23,no,0,5,6,4,13.0,0,0,5,5,5,13.0,0,7.6,2.6,0.32,Graduate
2344,single,2nd phase,nursing,daytime,Finished High School,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,19,no,0,7,8,7,12.12142857142857,0,0,9,12,8,11.50625,0,12.4,0.5,1.79,Graduate
2345,single,Short cycle diploma holders,vetinary nursing,daytime,Technical Course,Finished High School,Some High School,Intermediate Level Technicians & Professions,Machine Operators & Assembly Workers,yes,no,no,yes,male,yes,21,no,7,11,15,9,14.22222222222222,0,4,9,15,7,13.75,0,8.9,1.4,3.51,Graduate
2346,single,Change in course,advertising and marketing management,daytime,Finished High School,Other Degree,Some High School,Adminstrative Staff,Machine Operators & Assembly Workers,no,no,no,yes,male,no,19,no,0,6,17,4,12.5,0,0,6,8,4,13.25,0,13.9,-0.3,0.79,Enrolled
2347,single,3rd phase,informatics engineering,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,20,no,0,5,7,5,12.166666666666666,0,0,5,7,5,15.285714285714286,0,12.4,0.5,1.79,Graduate
2348,single,Over 23 years old,advertising and marketing management,daytime,Finished High School,General commerce course,Some High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,no,yes,no,yes,male,yes,30,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
2349,divorced,Over 23 years old,tourism,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,44,no,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate
2350,single,3rd phase,nursing,daytime,Finished High School,General commerce course,Other Degree,Adminstrative Staff,Unskilled Workers,no,no,no,yes,male,no,19,no,0,8,8,7,13.614285714285714,0,0,8,8,7,13.614285714285714,0,12.7,3.7,-1.7,Graduate
2351,single,Technological specialization diploma holders,equiniculture,daytime,Technical Course,Bachelor's Degree,Finished High School,Intermediate Level Technicians & Professions,Skilled Farmers,yes,no,no,yes,male,no,22,no,11,18,32,12,12.857142857142858,1,8,12,15,10,14.3,0,16.2,0.3,-0.92,Graduate
2352,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,Other Degree,Other Degree,Executive Managers,Science & Intellectual Specialists,no,no,no,yes,male,no,18,no,0,5,7,4,14.0,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
2353,single,2nd phase,advertising and marketing management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,yes,21,no,0,6,8,4,14.75,0,0,6,6,5,11.8,0,12.7,3.7,-1.7,Graduate
2354,single,1st phase -- general contingent,vetinary nursing,daytime,Finished High School,General commerce course,Some High School,Other Situation,Other Situation,no,no,no,yes,male,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
2355,single,2nd phase,advertising and marketing management,daytime,Finished High School,Other Degree,Finished High School,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,18,no,0,6,8,6,13.625,0,0,6,7,6,14.285714285714286,0,11.1,0.6,2.02,Graduate
2356,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Intermediate Level Technicians & Professions,no,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
2357,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,Finished High School,Middle School,Skilled Farmers,Skilled Farmers,yes,no,no,yes,male,no,21,no,0,6,12,4,11.8,0,0,6,11,4,11.875,0,16.2,0.3,-0.92,Dropout
2358,single,Over 23 years old,argonomy,daytime,Finished High School,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,31,no,0,6,8,6,15.125,0,0,6,10,6,14.6,0,16.2,0.3,-0.92,Graduate
2359,single,2nd phase,tourism,daytime,Finished High School,Finished High School,Finished High School,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,21,no,0,6,10,4,11.5,0,0,6,10,2,10.5,0,9.4,-0.8,-3.12,Dropout
2360,single,Over 23 years old,informatics engineering,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Skilled Industry,no,no,yes,yes,male,no,24,no,0,5,12,1,10.0,0,0,5,11,1,11.0,0,8.9,1.4,3.51,Enrolled
2361,single,Transfer,journalism and communication,daytime,Finished High School,General commerce course,Frequency of Higher Education,Adminstrative Staff,Intermediate Level Technicians & Professions,no,no,no,yes,male,no,27,no,0,4,8,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
2362,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,20,no,0,5,9,3,10.333333333333334,0,0,5,6,5,12.8,0,12.4,0.5,1.79,Graduate
2363,single,Technological specialization diploma holders,informatics engineering,daytime,Technical Course,Finished High School,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,22,no,0,5,9,0,0.0,0,0,5,6,2,11.666666666666666,0,10.8,1.4,1.74,Enrolled
2364,single,1st phase -- general contingent,argonomy,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,yes,19,no,0,6,9,4,12.0,2,0,6,10,4,12.5,0,15.5,2.8,-4.06,Enrolled
2365,single,3rd phase,journalism and communication,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,male,no,19,no,0,6,6,6,13.833333333333334,0,0,6,6,6,14.5,0,8.9,1.4,3.51,Graduate
2366,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Finished High School,Finished High School,Skilled Industry,Adminstrative Staff,yes,no,yes,yes,male,no,23,no,13,17,19,13,12.153846153846152,0,10,17,28,11,11.909090909090908,1,11.1,0.6,2.02,Enrolled
2367,single,2nd phase,equiniculture,daytime,Finished High School,Some High School,Some High School,Science & Intellectual Specialists,Machine Operators & Assembly Workers,yes,no,no,yes,male,no,18,no,0,6,7,6,14.0,0,0,6,8,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
2368,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,Other Degree,Bachelor's Degree,Adminstrative Staff,Skilled Farmers,yes,no,no,no,male,no,29,no,0,6,8,6,16.5,0,0,6,6,5,13.8,0,11.1,0.6,2.02,Enrolled
2369,single,Over 23 years old,equiniculture,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,29,no,0,5,11,1,18.0,2,0,5,10,3,13.333333333333334,2,10.8,1.4,1.74,Dropout
2370,single,Technological specialization diploma holders,argonomy,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,male,no,20,no,0,6,11,6,11.285714285714286,0,0,6,12,5,11.77777777777778,0,16.2,0.3,-0.92,Enrolled
2371,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Other Degree,Unskilled Workers,Science & Intellectual Specialists,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
2372,single,2nd phase,animation and multimedia design,daytime,Finished High School,Other Degree,Technical Course,Science & Intellectual Specialists,"Personal Services, Security & Safety Workers",yes,yes,no,yes,male,no,22,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
2373,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,Other Degree,Finished High School,Intermediate Level Technicians & Professions,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,20,no,0,6,10,5,14.0,0,0,6,10,6,12.0,0,11.1,0.6,2.02,Enrolled
2374,single,Over 23 years old,equiniculture,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,24,no,0,5,13,4,13.75,1,0,5,9,3,12.0,0,9.4,-0.8,-3.12,Enrolled
2375,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers",Machine Operators & Assembly Workers,no,no,no,no,male,no,21,no,0,6,9,4,13.25,0,0,6,6,5,11.0,0,12.7,3.7,-1.7,Dropout
2376,single,Over 23 years old,management,daytime,Finished High School,General commerce course,Finished High School,Skilled Industry,Intermediate Level Technicians & Professions,no,no,no,yes,male,yes,25,no,0,5,7,4,14.25,0,0,5,7,4,14.75,0,12.7,3.7,-1.7,Graduate
2377,single,Over 23 years old,management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,no,male,no,32,no,0,5,9,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
2378,single,Change in course,management (evening),evening,Finished High School,Other Degree,Postgraduate Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,no,male,no,26,no,8,12,12,8,11.25,0,3,8,8,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
2379,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,Bachelor's Degree,Elementary School,Unskilled Workers,Skilled Industry,yes,no,no,yes,male,yes,18,no,0,6,7,6,13.5,0,0,6,8,6,12.5,0,12.4,0.5,1.79,Graduate
2380,single,2nd phase,tourism,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,Skilled Industry,no,no,no,yes,male,yes,19,no,0,6,8,5,12.666666666666666,0,0,6,10,6,12.857142857142858,0,16.2,0.3,-0.92,Graduate
2381,single,1st phase -- general contingent,communication design,daytime,Finished High School,General commerce course,Middle School,"Personal Services, Security & Safety Workers",Skilled Industry,yes,no,no,yes,male,yes,19,no,0,6,6,6,15.166666666666666,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
2382,single,Holders of other higher courses,informatics engineering,daytime,Postgraduate Degree,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,male,no,27,no,4,6,6,6,13.166666666666666,0,2,5,7,5,15.142857142857142,0,11.1,0.6,2.02,Dropout
2383,single,Short cycle diploma holders,argonomy,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Unskilled Workers,no,no,yes,yes,male,no,21,no,7,12,20,10,11.8,0,5,12,15,9,11.444444444444445,0,8.9,1.4,3.51,Enrolled
2384,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Finished High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,male,no,20,no,0,5,10,4,11.5,0,0,5,11,0,0.0,0,13.9,-0.3,0.79,Enrolled
2385,single,Technological specialization diploma holders,communication design,daytime,Technical Course,General commerce course,Middle School,Adminstrative Staff,Student,yes,no,no,yes,male,no,21,no,0,6,6,6,14.5,0,0,6,8,6,11.333333333333334,0,12.4,0.5,1.79,Graduate
2386,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,General commerce course,Other Degree,"Personal Services, Security & Safety Workers",Science & Intellectual Specialists,yes,no,no,yes,male,no,22,no,0,6,10,5,13.4,0,0,6,12,3,10.666666666666666,0,9.4,-0.8,-3.12,Enrolled
2387,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Finished High School,Middle School,"Personal Services, Security & Safety Workers",Skilled Industry,yes,no,yes,no,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
2388,single,2nd phase,management,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,male,yes,18,no,0,5,8,4,10.8,0,0,5,10,2,12.5,0,11.1,0.6,2.02,Dropout
2389,single,Over 23 years old,social service,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",no,no,no,yes,male,no,28,no,0,5,6,0,0.0,0,0,5,5,0,0.0,0,13.9,-0.3,0.79,Dropout
2390,married,Over 23 years old,argonomy,daytime,Finished High School,Finished High School,Elementary School,Unskilled Workers,Executive Managers,no,no,yes,no,male,no,25,no,3,10,23,6,11.428571428571429,0,2,7,15,4,12.0,1,15.5,2.8,-4.06,Dropout
2391,single,Change in course,argonomy,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers",Adminstrative Staff,no,no,no,yes,male,no,25,no,8,14,24,8,12.5,2,6,13,23,10,11.6,0,15.5,2.8,-4.06,Dropout
2392,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,"Personal Services, Security & Safety Workers",no,no,no,yes,male,no,18,no,0,5,11,2,13.5,0,0,5,11,3,12.333333333333334,0,8.9,1.4,3.51,Enrolled
2393,single,1st phase -- general contingent,tourism,daytime,Finished High School,Postgraduate Degree,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,male,no,26,no,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
2394,single,2nd phase,management,daytime,Finished High School,General commerce course,Elementary School,Skilled Farmers,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,yes,18,no,0,5,8,5,12.75,0,0,5,7,5,11.5,0,13.9,-0.3,0.79,Graduate
2395,single,Change in course,journalism and communication,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Skilled Industry,yes,no,no,yes,male,no,22,no,0,6,17,3,11.333333333333334,3,0,6,14,3,12.333333333333334,0,15.5,2.8,-4.06,Enrolled
